n,m,q,r,prior,metric,bits,label,assumptions,model,effective_dimension,candidate_capacity_bits,delta_log2_radius,radius_ratio,baseline_beta,continuous_new_beta,predicted_delta_beta_continuous,integer_new_beta,predicted_delta_beta_integer,predicted_log2_work_gain,work_model_label
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,2.5025003405291835,0.051071435521003745,1.036034061858421,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,2.5025003405291835,0.08341667801763945,1.059524301451057,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,2.5025003405291835,0.10010001362116734,1.0718477649062348,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,support_selectivity,1.765534746362977,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,1.765534746362977,0.03603132135434647,1.025289496998204,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,support_selectivity,1.765534746362977,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,1.765534746362977,0.05885115821209923,1.041635958647587,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,support_selectivity,1.765534746362977,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,1.765534746362977,0.07062138985451907,1.0501689093346558,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,shannon_deficit,2.056823779020773,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,2.056823779020773,0.04197599549021985,1.0295229534108794,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
