n,m,q,r,prior,metric,bits,label,assumptions,model,effective_dimension,candidate_capacity_bits,delta_log2_radius,radius_ratio,baseline_beta,continuous_new_beta,predicted_delta_beta_continuous,integer_new_beta,predicted_delta_beta_integer,capacity_label,predicted_log2_work_gain,work_model_label
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49.0,2.5025003405291835,0.051071435521003745,1.036034061858421,60.0,47.61173624673856,12.388263753261441,48.0,12.0,RANK_ONLY_REFERENCE,3.4539999999999997,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,60.0,2.5025003405291835,0.04170833900881973,1.0293319685364177,60.0,51.968334857194876,8.031665142805124,52.0,8.0,RANK_ONLY_REFERENCE,2.286,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,hard_support_selectivity,2.5025003405291835,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,50.0,2.5025003405291835,0.05005000681058367,1.0353008088986673,60.0,48.15541468673314,11.844585313266862,49.0,11.0,RANK_ONLY_REFERENCE,3.162,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,INFORMATION_DIAGNOSTIC,same second moment only; q=17 does not turn this into an attack theorem,,,,,,,,,,,,,
24,24,17,1,cbd2,support_selectivity,1.765534746362977,INFORMATION_DIAGNOSTIC,"support-only diagnostic, not weighted CBD likelihood",,,,,,,,,,,,,
24,24,17,1,cbd2,shannon_deficit,2.056823779020773,INFORMATION_DIAGNOSTIC,coordinatewise entropy diagnostic,,,,,,,,,,,,,
24,24,17,1,cbd2,renyi2_separation,2.2167458581953055,INFORMATION_DIAGNOSTIC,coordinatewise collision-entropy diagnostic,,,,,,,,,,,,,
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49.0,5.005000681058367,0.10214287104200749,1.0733665773308583,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,60.0,5.005000681058367,0.08341667801763945,1.059524301451057,60.0,42.57114839405757,17.428851605942427,43.0,17.0,RANK_ONLY_REFERENCE,4.914,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,50.0,5.005000681058367,0.10010001362116734,1.0718477649062348,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
