n,m,q,r,prior,metric,bits,label,assumptions,model,effective_dimension,candidate_capacity_bits,delta_log2_radius,radius_ratio,baseline_beta,continuous_new_beta,predicted_delta_beta_continuous,integer_new_beta,predicted_delta_beta_integer,capacity_label,predicted_log2_work_gain,work_model_label
64,64,97,1,uniform_ternary,hard_support_selectivity,5.014950341465972,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,129.0,5.014950341465972,0.038875584042371875,1.0273128415680917,60.0,56.58649263774757,3.4135073622524317,57.0,3.0,RANK_ONLY_REFERENCE,0.8259999999999998,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,1,uniform_ternary,hard_support_selectivity,5.014950341465972,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,60.0,5.014950341465972,0.08358250569109953,1.05964609333565,60.0,42.523345689057805,17.476654310942195,43.0,17.0,RANK_ONLY_REFERENCE,4.914,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,1,uniform_ternary,hard_support_selectivity,5.014950341465972,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,50.0,5.014950341465972,0.10029900682931943,1.0719956167597193,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,INFORMATION_DIAGNOSTIC,same second moment only; q=97 does not turn this into an attack theorem,,,,,,,,,,,,,
64,64,97,1,cbd2,support_selectivity,4.277984747299765,INFORMATION_DIAGNOSTIC,"support-only diagnostic, not weighted CBD likelihood",,,,,,,,,,,,,
64,64,97,1,cbd2,shannon_deficit,4.569273779957562,INFORMATION_DIAGNOSTIC,coordinatewise entropy diagnostic,,,,,,,,,,,,,
64,64,97,1,cbd2,renyi2_separation,4.729195859132094,INFORMATION_DIAGNOSTIC,coordinatewise collision-entropy diagnostic,,,,,,,,,,,,,
64,64,97,1,cbd3,support_selectivity,3.7925579201295236,INFORMATION_DIAGNOSTIC,"support-only diagnostic, not weighted CBD likelihood",,,,,,,,,,,,,
64,64,97,1,cbd3,shannon_deficit,4.266550807416138,INFORMATION_DIAGNOSTIC,coordinatewise entropy diagnostic,,,,,,,,,,,,,
64,64,97,1,cbd3,renyi2_separation,4.451661883603185,INFORMATION_DIAGNOSTIC,coordinatewise collision-entropy diagnostic,,,,,,,,,,,,,
64,64,97,1,"fixed_weight(+8,-8)",global_combinatorial_deficit,359.94726602472696,INFORMATION_DIAGNOSTIC,full-n exact multinomial count; not assigned wholesale to r hints,,,,,,,,,,,,,
64,64,97,1,"fixed_weight(+8,-8)",exact_residual_profile,6.599912842187128,HEURISTIC ESTIMATOR,uniform q-ary pivot image and the stated residual plus/minus counts,lattice_dimension,129.0,6.599912842187128,0.05116211505571417,1.0360991830632218,60.0,55.50102477839921,4.498975221600787,56.0,4.0,RANK_ONLY_REFERENCE,1.1179999999999999,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,1,"fixed_weight(+8,-8)",exact_residual_profile,6.599912842187128,HEURISTIC ESTIMATOR,uniform q-ary pivot image and the stated residual plus/minus counts,bkz_beta,60.0,6.599912842187128,0.10999854736978547,1.079227149844592,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,1,"fixed_weight(+8,-8)",exact_residual_profile,6.599912842187128,HEURISTIC ESTIMATOR,uniform q-ary pivot image and the stated residual plus/minus counts,sieve_dimension_proxy,50.0,6.599912842187128,0.13199825684374256,1.0958104424187523,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,2,uniform_ternary,hard_support_selectivity,10.029900682931943,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,129.0,10.029900682931943,0.07775116808474375,1.0553716744507071,60.0,53.12565603210349,6.8743439678965075,54.0,6.0,RANK_ONLY_REFERENCE,1.7019999999999997,HEURISTIC ESTIMATOR / beta-cost proxy
64,64,97,2,uniform_ternary,hard_support_selectivity,10.029900682931943,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,60.0,10.029900682931943,0.16716501138219905,1.122849843121505,60.0,40.0,20.0,40.0,20.0,RANK_ONLY_REFERENCE,5.79,HEURISTIC ESTIMATOR / beta-cost proxy
